%#Format: frequency (Hz)  ratio (dB)  phase (deg)
           1     -72.3233      22.9059
     1.00926     -72.8458      22.6757
     1.01861     -73.3626      22.4639
     1.02804     -73.8725      22.2734
     1.03757     -74.3753      22.1036
     1.04718     -74.8711      21.9505
     1.05688     -75.3599      21.8107
     1.06667     -75.8419      21.6848
     1.07654     -76.3176      21.5719
     1.08652     -76.7875      21.4709
     1.09658     -77.2518      21.3821
     1.10674     -77.7106      21.3067
     1.11699     -78.1642      21.2446
     1.12733     -78.6131      21.1926
     1.13777     -79.0575       21.148
     1.14831     -79.4978      21.1116
     1.15895     -79.9341      21.0853
     1.16968     -80.3664       21.068
     1.18052      -80.795      21.0569
     1.19145     -81.2199      21.0513
     1.20249     -81.6413      21.0525
     1.21362     -82.0593      21.0592
     1.22486     -82.4743      21.0715
     1.23621     -82.8863      21.0902
     1.24766     -83.2953      21.1146
     1.25922     -83.7013      21.1445
     1.27088     -84.1046      21.1799
     1.28265     -84.5053      21.2204
     1.29453     -84.9035      21.2658
     1.30652     -85.2991      21.3157
     1.31862     -85.6922      21.3701
     1.33083     -86.0829      21.4287
     1.34316     -86.4714      21.4915
      1.3556     -86.8576      21.5589
     1.36816     -87.2415      21.6309
     1.38083     -87.6233      21.7074
     1.39362     -88.0031      21.7883
     1.40653     -88.3809      21.8738
     1.41955     -88.7568      21.9635
      1.4327      -89.131      22.0573
     1.44597     -89.5033       22.155
     1.45937      -89.874      22.2551
     1.47288     -90.2429       22.357
     1.48652     -90.6101      22.4608
     1.50029     -90.9757      22.5666
     1.51419     -91.3397       22.676
     1.52821     -91.7019      22.7899
     1.54237     -92.0625      22.9079
     1.55665     -92.4215      23.0298
     1.57107     -92.7791      23.1547
     1.58562     -93.1356      23.2818
     1.60031     -93.4909      23.4114
     1.61513     -93.8452      23.5437
     1.63009     -94.1983      23.6789
     1.64519       -94.55      23.8175
     1.66043     -94.9004      23.9591
     1.67581     -95.2495      24.1035
     1.69133     -95.5974      24.2506
     1.70699      -95.944      24.4003
     1.72281     -96.2895      24.5527
     1.73876     -96.6339      24.7078
     1.75487     -96.9771      24.8661
     1.77112     -97.3192      25.0275
     1.78753     -97.6602      25.1919
     1.80408     -98.0001       25.359
     1.82079     -98.3389      25.5288
     1.83766     -98.6766      25.7016
     1.85468     -99.0132      25.8774
     1.87186     -99.3488      26.0552
     1.88919     -99.6827      26.2372
     1.90669     -100.016      26.4219
     1.92435     -100.347      26.6092
     1.94217     -100.678       26.799
     1.96016     -101.008      26.9915
     1.97832     -101.337      27.1868
     1.99664     -101.666      27.3847
     2.01514     -101.993      27.5855
      2.0338     -102.319       27.789
     2.05264     -102.645      27.9958
     2.07165     -102.969      28.2061
     2.09084     -103.293      28.4197
      2.1102     -103.615      28.6367
     2.12975     -103.937      28.8566
     2.14947     -104.257      29.0791
     2.16938     -104.577      29.3037
     2.18948     -104.896      29.5305
     2.20976     -105.214      29.7599
     2.23022      -105.53      29.9924
     2.25088     -105.845      30.2278
     2.27173     -106.159      30.4664
     2.29277     -106.472      30.7083
     2.31401     -106.784      30.9542
     2.33544     -107.095      31.2056
     2.35707     -107.406      31.4628
      2.3789     -107.715      31.7245
     2.40093     -108.024      31.9886
     2.42317     -108.331      32.2529
     2.44562     -108.638       32.517
     2.46827     -108.944      32.7816
     2.49113     -109.249       33.049
      2.5142     -109.553      33.3205
     2.53749     -109.856      33.5966
     2.56099     -110.158      33.8771
     2.58471     -110.458      34.1617
     2.60865     -110.757      34.4497
     2.63282     -111.054      34.7408
      2.6572     -111.351      35.0352
     2.68181     -111.647      35.3327
     2.70665     -111.941      35.6333
     2.73172     -112.234      35.9371
     2.75702     -112.526      36.2444
     2.78256     -112.816      36.5553
     2.80833     -113.105        36.87
     2.83434     -113.393      37.1883
      2.8606      -113.68      37.5101
     2.88709     -113.965      37.8356
     2.91383     -114.248      38.1647
     2.94082      -114.53      38.4975
     2.96806     -114.811      38.8344
     2.99555     -115.091      39.1758
     3.02329     -115.369      39.5199
      3.0513     -115.645      39.8678
     3.07956      -115.92      40.2197
     3.10808     -116.193      40.5755
     3.13687     -116.465      40.9353
     3.16592     -116.734      41.2992
     3.19525     -117.002       41.667
     3.22484     -117.267      42.0387
     3.25471     -117.531      42.4143
     3.28486     -117.793      42.7936
     3.31528     -118.052      43.1763
     3.34599     -118.309      43.5627
     3.37698     -118.565      43.9527
     3.40826     -118.818      44.3465
     3.43983     -119.068      44.7444
     3.47169     -119.316      45.1463
     3.50384     -119.562      45.5519
      3.5363     -119.805      45.9608
     3.56905     -120.046      46.3725
     3.60211     -120.284       46.787
     3.63547      -120.52      47.2043
     3.66914     -120.753      47.6241
     3.70313     -120.982      48.0463
     3.73743     -121.208      48.4708
     3.77204     -121.431      48.8975
     3.80698      -121.65       49.328
     3.84224     -121.865      49.7631
     3.87783     -122.076      50.2027
     3.91375     -122.283      50.6465
        3.95     -122.486      51.0933
     3.98658     -122.685      51.5408
     4.02351     -122.879      51.9888
     4.06077     -123.068       52.437
     4.09838     -123.253      52.8852
     4.13634     -123.432      53.3334
     4.17466     -123.605      53.7811
     4.21332     -123.773      54.2277
     4.25235     -123.935      54.6725
     4.29173     -124.091      55.1147
     4.33148      -124.24      55.5533
      4.3716     -124.382      55.9873
     4.41209     -124.517      56.4156
     4.45296     -124.643      56.8367
      4.4942     -124.762      57.2492
     4.53583     -124.872      57.6516
     4.57784     -124.972      58.0418
     4.62024     -125.063      58.4171
     4.66303     -125.143      58.7763
     4.70622     -125.212      59.1155
     4.74981      -125.27      59.4318
     4.79381     -125.314      59.7217
     4.83821     -125.346      59.9801
     4.88302     -125.363       60.203
     4.92825     -125.364       60.384
      4.9739     -125.349      60.5158
     5.01997     -125.316      60.5909
     5.06646     -125.263      60.5983
     5.11339     -125.191      60.5273
     5.16075     -125.095      60.3634
     5.20855     -124.976      60.0895
     5.25679      -124.83      59.6844
     5.30548     -124.656      59.1224
     5.35462     -124.452      58.3724
     5.40422     -124.216      57.3943
     5.45427     -123.946       56.138
     5.50479     -123.641      54.5412
     5.55578       -123.3      52.5253
     5.60723     -122.927      49.9916
     5.65917     -122.527      46.8192
     5.71159     -122.113       42.866
     5.76449     -121.706      37.9778
     5.81788     -121.343      32.0158
     5.87177     -121.077      24.9134
     5.92615     -120.973      16.7597
     5.98104     -121.093      7.87204
     6.03644     -121.475     -1.21879
     6.09235     -122.112     -9.91286
     6.14878     -122.956     -17.7359
     6.20573      -123.94     -24.4462
     6.26321     -125.002     -30.0132
     6.32122     -126.095     -34.5342
     6.37977     -127.187     -38.1566
     6.43886      -128.26     -41.0327
      6.4985     -129.303     -43.2988
     6.55869     -130.312     -45.0689
     6.61943     -131.285     -46.4347
     6.68074     -132.223     -47.4693
     6.74262     -133.126     -48.2311
     6.80507     -133.998      -48.767
      6.8681     -134.839     -49.1135
     6.93172     -135.652     -49.3003
     6.99592     -136.439     -49.3516
     7.06072     -137.202     -49.2877
     7.12612     -137.941     -49.1242
     7.19212      -138.66     -48.8738
     7.25873     -139.359     -48.5477
     7.32597     -140.039     -48.1558
     7.39382     -140.702     -47.7055
      7.4623     -141.348     -47.2028
     7.53142     -141.979     -46.6536
     7.60118     -142.595     -46.0639
     7.67158     -143.197     -45.4375
     7.74264     -143.786     -44.7775
     7.81435     -144.363     -44.0867
     7.88673     -144.927     -43.3689
     7.95978      -145.48     -42.6264
      8.0335     -146.021      -41.861
     8.10791     -146.552     -41.0747
     8.18301     -147.072     -40.2706
      8.2588     -147.583     -39.4502
     8.33529     -148.083     -38.6141
      8.4125     -148.574     -37.7631
     8.49042     -149.056     -36.8995
     8.56906     -149.528     -36.0245
     8.64842     -149.991     -35.1394
     8.72853     -150.445     -34.2457
     8.80937      -150.89     -33.3445
     8.89097     -151.327     -32.4372
     8.97332     -151.755     -31.5251
     9.05643     -152.174     -30.6098
     9.14031     -152.585     -29.6927
     9.22497     -152.987     -28.7748
     9.31041     -153.381     -27.8561
     9.39665     -153.766     -26.9368
     9.48368     -154.143     -26.0181
     9.57152     -154.511      -25.101
     9.66017     -154.871      -24.186
     9.74965     -155.222     -23.2742
     9.83995     -155.565     -22.3658
     9.93109       -155.9     -21.4605
     10.0231     -156.226     -20.5578
     10.1159     -156.544     -19.6551
     10.2096     -156.854     -18.7488
     10.3042     -157.156     -17.8335
     10.3996      -157.45     -16.9006
     10.4959     -157.735     -15.9372
     10.5931      -158.01     -14.9261
     10.6913     -158.276     -13.8422
     10.7903     -158.529     -12.6505
     10.8902     -158.765     -11.3015
     10.9911     -158.978     -9.72281
     11.0929     -159.156     -7.81096
     11.1956     -159.276     -5.41722
     11.2993     -159.301     -2.32839
      11.404     -159.156      1.75243
     11.5096     -158.696      7.21824
     11.6162     -157.611      14.4989
     11.7238     -155.163      23.6555
     11.8324      -148.84      31.5563
      11.942     -142.303     -103.022
     12.0526      -154.74     -105.202
     12.1642     -159.367     -95.3917
     12.2769     -161.993     -86.8415
     12.3906     -163.766     -80.0726
     12.5054     -165.121     -74.7154
     12.6212     -166.253     -70.3392
     12.7381     -167.259     -66.6023
     12.8561      -168.19     -63.2545
     12.9752     -169.071     -60.1153
     13.0954     -169.916     -57.0564
     13.2166     -170.733     -53.9855
     13.3391     -171.525     -50.8358
     13.4626     -172.293     -47.5619
     13.5873     -173.035     -44.1105
     13.7131      -173.75     -40.4502
     13.8402     -174.434     -36.5538
     13.9684     -175.084      -32.395
     14.0977     -175.694     -27.9461
     14.2283      -176.26     -23.1816
     14.3601     -176.772     -18.0746
     14.4931     -177.222     -12.5897
     14.6273     -177.597     -6.69937
     14.7628     -177.881    -0.370252
     14.8996     -178.055       6.4271
     15.0376     -178.092      13.7253
     15.1768     -177.954      21.5453
     15.3174     -177.589      29.9153
     15.4593     -176.919      38.8113
     15.6025     -175.822      48.1493
      15.747     -174.082      57.6648
     15.8928     -171.246      66.4717
       16.04     -166.047       70.181
     16.1886      -156.67      12.1806
     16.3385     -166.604     -42.3278
     16.4899     -172.101     -34.4019
     16.6426     -175.051     -18.3699
     16.7967     -176.493      2.33664
     16.9523     -176.468      28.2683
     17.1093     -174.237      61.2435
     17.2678      -167.26      102.409
     17.4277     -140.342      106.567
     17.5892      -142.57     -70.2326
     17.7521      -159.82      156.493
     17.9165     -172.816     -161.418
     18.0824      -177.31     -124.241
     18.2499     -178.331     -95.5722
      18.419     -176.893     -74.6873
     18.5896     -171.928      -67.055
     18.7617     -167.263     -149.497
     18.9355     -177.991     -172.567
     19.1109     -183.691     -164.424
     19.2879     -187.468      -153.35
     19.4666     -190.275     -142.018
     19.6469     -192.486      -131.01
     19.8288     -194.287       -120.5
     20.0125     -195.789     -110.537
     20.1979     -197.064     -101.122
     20.3849     -198.161     -92.2342
     20.5737     -199.117     -83.8466
     20.7643     -199.959     -75.9244
     20.9566      -200.71     -68.4369
     21.1507     -201.384     -61.3506
     21.3466     -201.996     -54.6274
     21.5443     -202.556     -48.2287
     21.7439     -203.071     -42.1362
     21.9453      -203.55     -36.3221
     22.1486     -203.997     -30.7595
     22.3537     -204.416     -25.4247
     22.5607     -204.812     -20.2989
     22.7697     -205.187     -15.3616
     22.9806     -205.545     -10.5985
     23.1935     -205.888     -5.99772
     23.4083     -206.217     -1.54362
     23.6251     -206.534      2.77692
     23.8439     -206.841      6.97788
     24.0648     -207.137      11.0684
     24.2876     -207.424      15.0594
     24.5126     -207.705       18.951
     24.7396     -207.978      22.7584
     24.9688     -208.246      26.4921
     25.2001     -208.507      30.1595
     25.4335     -208.763      33.7646
      25.669     -209.012      37.3158
     25.9068     -209.258      40.8203
     26.1467     -209.499       44.281
     26.3889     -209.736      47.7083
     26.6333     -209.969      51.1072
       26.88     -210.199      54.4884
      27.129     -210.423      57.8544
     27.3803     -210.644      61.2165
     27.6339      -210.86      64.5821
     27.8898     -211.071      67.9574
     28.1481     -211.277       71.347
     28.4088     -211.476      74.7704
      28.672     -211.668      78.2282
     28.9375     -211.851      81.7376
     29.2056     -212.023      85.3191
     29.4761     -212.185      88.9752
     29.7491     -212.332      92.7241
     30.0246     -212.461      96.5783
     30.3027     -212.568      100.562
     30.5834     -212.646      104.683
     30.8666      -212.69      108.957
     31.1525     -212.688      113.412
     31.4411     -212.629      118.037
     31.7323     -212.498      122.842
     32.0262     -212.275      127.813
     32.3228     -211.936      132.893
     32.6222     -211.449      137.977
     32.9244     -210.776      142.899
     33.2293      -209.87       147.35
     33.5371     -208.678      150.817
     33.8477     -207.146      152.361
     34.1612     -205.262      150.287
     34.4776     -203.226      141.732
      34.797      -201.87      124.391
     35.1193     -202.321      103.999
     35.4446     -204.101      90.3652
     35.7729     -206.071      84.1772
     36.1042       -207.8      82.3931
     36.4386     -209.243      82.9127
     36.7761     -210.445      84.6385
     37.1167      -211.46      86.9991
     37.4605     -212.329      89.6971
     37.8075     -213.082      92.5562
     38.1576     -213.745      95.4771
     38.5111     -214.336      98.4107
     38.8678      -214.87      101.324
     39.2278     -215.355      104.203
     39.5911     -215.801      107.029
     39.9578     -216.213      109.807
     40.3279     -216.598       112.54
     40.7014     -216.961      115.224
     41.0784     -217.305      117.873
     41.4589     -217.629      120.492
     41.8429     -217.938      123.068
     42.2304     -218.235      125.612
     42.6216     -218.516      128.117
     43.0164     -218.788       130.59
     43.4148      -219.05      133.037
     43.8169     -219.305       135.45
     44.2227     -219.553      137.854
     44.6323     -219.794      140.254
     45.0457      -220.03      142.636
      45.463     -220.259      144.993
      45.884     -220.481      147.349
      46.309     -220.697      149.693
     46.7379     -220.909      152.036
     47.1708     -221.114      154.377
     47.6078     -221.315      156.699
     48.0487     -221.513       159.02
     48.4937     -221.706       161.32
     48.9429     -221.895      163.598
     49.3962     -222.078      165.871
     49.8537     -222.258      168.121
     50.3155     -222.434      170.383
     50.7815     -222.605      172.641
     51.2519     -222.771      174.894
     51.7266     -222.934      177.149
     52.2057     -223.091      179.417
     52.6892     -223.244     -178.323
     53.1772      -223.39     -176.067
     53.6698     -223.531     -173.826
     54.1669     -223.668     -171.599
     54.6686     -223.802     -169.384
     55.1749     -223.932     -167.185
      55.686     -224.057     -164.994
     56.2017     -224.178     -162.821
     56.7223     -224.295     -160.666
     57.2477      -224.41     -158.515
     57.7779     -224.525     -156.352
      58.313     -224.637     -154.176
     58.8532     -224.744     -151.991
     59.3983     -224.842     -149.806
     59.9484     -224.933     -147.646
     60.5037      -225.02     -145.497
     61.0641     -225.102     -143.345
     61.6297     -225.178     -141.205
     62.2005     -225.251     -139.073
     62.7766     -225.321     -136.957
     63.3581     -225.386     -134.825
     63.9449     -225.452     -132.715
     64.5372     -225.513     -130.613
     65.1349     -225.567     -128.547
     65.7382     -225.617     -126.514
     66.3471     -225.669     -124.478
     66.9616     -225.718      -122.46
     67.5818     -225.766     -120.449
     68.2078     -225.812     -118.417
     68.8395     -225.855     -116.401
     69.4771     -225.893     -114.398
     70.1206     -225.925     -112.432
     70.7701     -225.955     -110.498
     71.4256     -225.981     -108.597
     72.0872     -226.004     -106.697
     72.7548     -226.024      -104.81
     73.4287      -226.04     -102.953
     74.1088     -226.052     -101.103
     74.7952     -226.062     -99.3113
      75.488     -226.071     -97.5237
     76.1872     -226.075     -95.7596
     76.8928     -226.076     -94.0327
      77.605     -226.074     -92.3138
     78.3238     -226.069     -90.6087
     79.0493     -226.062     -88.9167
     79.7814     -226.052     -87.2323
     80.5204     -226.037     -85.5615
     81.2662     -226.021     -83.9097
     82.0189     -226.004     -82.2819
     82.7786     -225.983     -80.6856
     83.5453      -225.96      -79.118
     84.3191     -225.937     -77.5825
     85.1001     -225.915     -76.0699
     85.8883     -225.894     -74.5624
     86.6838     -225.871     -73.0859
     87.4867     -225.848     -71.6272
      88.297     -225.825     -70.1638
     89.1148       -225.8     -68.7314
     89.9402     -225.773     -67.3128
     90.7733     -225.742     -65.8993
      91.614      -225.71     -64.5042
     92.4626     -225.675     -63.1405
      93.319     -225.639      -61.809
     94.1833     -225.603     -60.4837
     95.0557     -225.568     -59.1631
     95.9361     -225.536     -57.8854
     96.8247     -225.503     -56.6205
     97.7215     -225.468     -55.3761
     98.6266     -225.434     -54.1391
     99.5401     -225.397     -52.9071
     100.462      -225.36     -51.6804
     101.393     -225.325     -50.4679
     102.332     -225.288     -49.2863
     103.279     -225.249     -48.1141
     104.236     -225.212     -46.9282
     105.202     -225.177     -45.7647
     106.176     -225.141     -44.6303
     107.159     -225.102     -43.5066
     108.152     -225.062     -42.4074
     109.154     -225.022     -41.3239
     110.165     -224.982     -40.2674
     111.185     -224.942     -39.2073
     112.215     -224.901     -38.1481
     113.254     -224.861     -37.1193
     114.303     -224.822     -36.0932
     115.362      -224.78     -35.0814
      116.43      -224.74     -34.0696
     117.509     -224.699     -33.0794
     118.597     -224.661     -32.0931
     119.696     -224.625     -31.1016
     120.804     -224.589     -30.1303
     121.923     -224.555     -29.1548
     123.052      -224.52     -28.1841
     124.192     -224.483     -27.2118
     125.342     -224.443     -26.2593
     126.503     -224.402     -25.3227
     127.675     -224.364     -24.4059
     128.858     -224.328     -23.4965
     130.051     -224.294     -22.6057
     131.256      -224.26     -21.7179
     132.471     -224.228      -20.798
     133.698     -224.196     -19.9123
     134.937     -224.162     -19.0332
     136.187     -224.128     -18.1826
     137.448     -224.095       -17.35
     138.721     -224.061     -16.5061
     140.006     -224.023     -15.6598
     141.303     -223.986     -14.8505
     142.611     -223.949     -14.0381
     143.932     -223.913     -13.2276
     145.265     -223.878     -12.4196
     146.611     -223.843     -11.6152
     147.969     -223.811     -10.8009
     149.339     -223.779     -9.99714
     150.723     -223.751     -9.21144
     152.119     -223.723     -8.41813
     153.527     -223.692     -7.61444
     154.949      -223.66     -6.82404
     156.385      -223.63     -6.04373
     157.833     -223.601     -5.26889
     159.295     -223.574     -4.50522
      160.77     -223.545     -3.73663
      162.26     -223.514     -2.98192
     163.762     -223.487     -2.23501
     165.279      -223.46     -1.49536
      166.81     -223.431     -0.76632
     168.355     -223.404   -0.0366575
     169.914     -223.378     0.698928
     171.488     -223.352      1.43352
     173.077     -223.328      2.16553
      174.68     -223.305      2.88824
     176.298     -223.281      3.62418
      177.93     -223.259       4.3454
     179.578     -223.237      5.06869
     181.242     -223.214      5.78819
      182.92     -223.192      6.50582
     184.615     -223.172      7.21915
     186.325     -223.154      7.93249
      188.05     -223.136      8.65246
     189.792     -223.117      9.36786
      191.55     -223.099      10.0747
     193.324     -223.081      10.7749
     195.115     -223.062      11.4689
