#Format: frequency (Hz)  ratio (dB)  phase (deg)
           1     -74.7615     -157.039
     1.00926     -75.2876     -157.267
     1.01861     -75.8051     -157.474
     1.02804     -76.3146      -157.66
     1.03757     -76.8165     -157.828
     1.04718     -77.3114     -157.978
     1.05688     -77.7995     -158.112
     1.06667     -78.2812     -158.231
     1.07654     -78.7568     -158.337
     1.08652     -79.2267      -158.43
     1.09658     -79.6911     -158.511
     1.10674     -80.1504     -158.581
     1.11699     -80.6046     -158.641
     1.12733     -81.0542      -158.69
     1.13777     -81.4992     -158.731
     1.14831     -81.9399     -158.762
     1.15895     -82.3765     -158.786
     1.16968     -82.8091     -158.801
     1.18052     -83.2379     -158.809
     1.19145     -83.6631      -158.81
     1.20249     -84.0848     -158.805
     1.21362     -84.5032     -158.793
     1.22486     -84.9183     -158.775
     1.23621     -85.3304     -158.751
     1.24766     -85.7394     -158.721
     1.25922     -86.1456     -158.686
     1.27088      -86.549     -158.646
     1.28265     -86.9497       -158.6
     1.29453     -87.3479     -158.551
     1.30652     -87.7435     -158.496
     1.31862     -88.1367     -158.436
     1.33083     -88.5276     -158.372
     1.34316     -88.9163     -158.304
      1.3556     -89.3027     -158.233
     1.36816     -89.6869     -158.156
     1.38083     -90.0692     -158.076
     1.39362     -90.4494     -157.992
     1.40653     -90.8277     -157.904
     1.41955     -91.2041     -157.813
      1.4327     -91.5786     -157.718
     1.44597     -91.9514      -157.62
     1.45937     -92.3224     -157.518
     1.47288     -92.6917     -157.412
     1.48652     -93.0594     -157.303
     1.50029     -93.4254     -157.192
     1.51419     -93.7899     -157.076
     1.52821     -94.1528     -156.958
     1.54237     -94.5143     -156.836
     1.55665     -94.8742     -156.711
     1.57107     -95.2328     -156.584
     1.58562     -95.5898     -156.453
     1.60031     -95.9456      -156.32
     1.61513        -96.3     -156.183
     1.63009     -96.6531     -156.043
     1.64519     -97.0048     -155.901
     1.66043     -97.3553     -155.755
     1.67581     -97.7046     -155.607
     1.69133     -98.0526     -155.455
     1.70699     -98.3994     -155.301
     1.72281     -98.7451     -155.144
     1.73876     -99.0895     -154.985
     1.75487     -99.4328     -154.822
     1.77112     -99.7749     -154.656
     1.78753     -100.116     -154.488
     1.80408     -100.456     -154.317
     1.82079     -100.795     -154.143
     1.83766     -101.133     -153.966
     1.85468     -101.469     -153.787
     1.87186     -101.805     -153.605
     1.88919     -102.139      -153.42
     1.90669     -102.473     -153.232
     1.92435     -102.806     -153.041
     1.94217     -103.137     -152.847
     1.96016     -103.468     -152.651
     1.97832     -103.797     -152.453
     1.99664     -104.126      -152.25
     2.01514     -104.453     -152.046
      2.0338      -104.78     -151.838
     2.05264     -105.105     -151.628
     2.07165      -105.43     -151.414
     2.09084     -105.753     -151.198
      2.1102     -106.076      -150.98
     2.12975     -106.398     -150.758
     2.14947     -106.718     -150.533
     2.16938     -107.038     -150.305
     2.18948     -107.357     -150.074
     2.20976     -107.674      -149.84
     2.23022     -107.991     -149.604
     2.25088     -108.307     -149.364
     2.27173     -108.622     -149.122
     2.29277     -108.935     -148.876
     2.31401     -109.248     -148.628
     2.33544      -109.56     -148.376
     2.35707     -109.871     -148.121
      2.3789      -110.18     -147.863
     2.40093     -110.489     -147.603
     2.42317     -110.797     -147.338
     2.44562     -111.104     -147.071
     2.46827     -111.409       -146.8
     2.49113     -111.714     -146.527
      2.5142     -112.017      -146.25
     2.53749      -112.32     -145.969
     2.56099     -112.621     -145.685
     2.58471     -112.921     -145.399
     2.60865      -113.22     -145.108
     2.63282     -113.518     -144.815
      2.6572     -113.815     -144.518
     2.68181      -114.11     -144.217
     2.70665     -114.405     -143.914
     2.73172     -114.698     -143.606
     2.75702      -114.99     -143.296
     2.78256      -115.28     -142.981
     2.80833     -115.569     -142.663
     2.83434     -115.857     -142.342
      2.8606     -116.144     -142.016
     2.88709     -116.429     -141.687
     2.91383     -116.713     -141.355
     2.94082     -116.995     -141.019
     2.96806     -117.276     -140.679
     2.99555     -117.556     -140.335
     3.02329     -117.833     -139.988
      3.0513      -118.11     -139.637
     3.07956     -118.384     -139.282
     3.10808     -118.657     -138.923
     3.13687     -118.928     -138.561
     3.16592     -119.198     -138.194
     3.19525     -119.465     -137.824
     3.22484     -119.731      -137.45
     3.25471     -119.995     -137.072
     3.28486     -120.257     -136.689
     3.31528     -120.516     -136.304
     3.34599     -120.774     -135.914
     3.37698     -121.029     -135.521
     3.40826     -121.283     -135.123
     3.43983     -121.533     -134.722
     3.47169     -121.782     -134.317
     3.50384     -122.028     -133.908
      3.5363     -122.271     -133.496
     3.56905     -122.512      -133.08
     3.60211      -122.75      -132.66
     3.63547     -122.985     -132.238
     3.66914     -123.217     -131.811
     3.70313     -123.446     -131.381
     3.73743     -123.671     -130.948
     3.77204     -123.893     -130.512
     3.80698     -124.112     -130.073
     3.84224     -124.327     -129.632
     3.87783     -124.539     -129.188
     3.91375     -124.746     -128.742
        3.95     -124.949     -128.294
     3.98658     -125.148     -127.845
     4.02351     -125.342     -127.394
     4.06077     -125.532     -126.942
     4.09838     -125.716      -126.49
     4.13634     -125.896     -126.037
     4.17466      -126.07     -125.585
     4.21332     -126.238     -125.135
     4.25235       -126.4     -124.687
     4.29173     -126.556     -124.241
     4.33148     -126.706     -123.799
      4.3716     -126.848     -123.362
     4.41209     -126.983      -122.93
     4.45296      -127.11     -122.506
      4.4942     -127.228      -122.09
     4.53583     -127.339     -121.684
     4.57784     -127.439     -121.291
     4.62024      -127.53     -120.911
     4.66303     -127.611     -120.549
     4.70622      -127.68     -120.205
     4.74981     -127.738     -119.885
     4.79381     -127.783     -119.592
     4.83821     -127.815     -119.329
     4.88302     -127.832     -119.102
     4.92825     -127.834     -118.917
      4.9739     -127.819     -118.782
     5.01997     -127.786     -118.703
     5.06646     -127.734     -118.691
     5.11339     -127.662     -118.757
     5.16075     -127.566     -118.917
     5.20855     -127.447     -119.186
     5.25679     -127.302     -119.585
     5.30548     -127.129     -120.142
     5.35462     -126.925     -120.886
     5.40422      -126.69     -121.858
     5.45427      -126.42     -123.109
     5.50479     -126.115     -124.699
     5.55578     -125.775     -126.709
     5.60723     -125.403     -129.237
     5.65917     -125.003     -132.404
     5.71159     -124.589     -136.351
     5.76449     -124.183     -141.235
     5.81788     -123.821     -147.192
     5.87177     -123.555     -154.289
     5.92615     -123.451     -162.438
     5.98104     -123.572      -171.32
     6.03644     -123.954      179.595
     6.09235     -124.592      170.907
     6.14878     -125.436       163.09
     6.20573     -126.421      156.387
     6.26321     -127.484      150.826
     6.32122     -128.577      146.312
     6.37977      -129.67      142.697
     6.43886     -130.743      139.829
      6.4985     -131.786      137.571
     6.55869     -132.796      135.809
     6.61943     -133.769      134.451
     6.68074     -134.707      133.425
     6.74262     -135.612      132.671
     6.80507     -136.484      132.144
      6.8681     -137.326      131.806
     6.93172      -138.14      131.627
     6.99592     -138.927      131.585
     7.06072      -139.69      131.658
     7.12612     -140.431      131.832
     7.19212      -141.15      132.093
     7.25873     -141.849      132.429
     7.32597      -142.53      132.831
     7.39382     -143.194      133.293
      7.4623      -143.84      133.806
     7.53142     -144.472      134.366
     7.60118     -145.089      134.968
     7.67158     -145.692      135.606
